Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec),Starter,Starter ERA,Starter FIP,Starter WHIP,Starter H9,Starter HR9,Starter BB9,Starter SO9
138,138,Sep 7,@,TBR,"L,0-1",8,4,1,1,0,4,4,0,0,4.52,31,129,71,0,0,2,0,27,2,0,1,0,0,0,0,4,Mike Estabrook,"N.Pivetta (4-59-L), J.Schreiber (2), M.Strahm (2), Z.Kelly (1)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
139,139,Sep 9,@,BAL,"L,2-3",8,5,3,3,0,6,8,0,1,4.51,34,144,81,3,3,0,1,27,1,0,0,0,0,0,0,4,John Tumpane,"B.Bello (5-53-L), K.Ort (4-BSv), Z.Kelly (1), M.Barnes (5)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
140,140,Sep 10,@,BAL,"W,17-4",9,8,4,3,1,0,7,1,0,4.5,36,114,84,0,0,0,0,35,1,0,0,0,1,1,0,4,James Hoye,"M.Wacha (4-53-W), R.Brasier (3), M.Strahm (2), E.Bazardo (3)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
141,141,Sep 11,@,BAL,"W,1-0",9,3,0,0,0,4,14,0,2,4.47,36,137,84,0,0,1,0,30,0,0,0,0,0,0,0,5,Nestor Ceja,"R.Hill (4-67-W), J.Schreiber (3-H), M.Strahm (0-H), G.Whitlock (7-H), M.Barnes (1-Sv)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
142,142,Sep 13,,NYY,"L,6-7",10,8,7,6,1,5,7,3,0,4.48,40,161,103,2,0,1,1,35,1,0,1,0,0,0,1,6,Mark Wegner,"N.Pivetta (5-47), R.Brasier (2), J.Schreiber (1-H), G.Whitlock (1-BSv), M.Barnes (1), J.Familia (7-L)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
143,143,Sep 14,,NYY,"L,3-5",9,10,5,2,3,3,12,0,0,4.46,41,171,108,0,0,4,0,38,3,0,0,0,0,1,0,5,Nick Mahrley,"B.Bello (4-54-L), Z.Kelly (4), K.Ort (4), E.Bazardo (3), R.Brasier (0)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
144,144,Sep 16,,KCR,"W,2-1",9,8,1,1,0,1,6,0,0,4.44,34,116,82,0,0,1,0,33,0,1,0,0,0,0,1,3,Ramon De Jesus,"M.Wacha (5-63), G.Whitlock (2-W), M.Strahm (4-Sv)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
145,145,Sep 17,,KCR,"L,0-9",9,15,9,8,1,2,6,0,0,4.46,44,158,108,4,3,2,0,42,2,0,0,0,0,0,0,5,,"R.Hill (5-38-L), R.Brasier (2), F.German (99), E.Bazardo (2), T.Danish (10)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
146,146,Sep 18,,KCR,"W,13-3",9,8,3,3,0,5,13,1,0,4.45,40,171,111,0,0,1,0,35,3,0,0,0,0,0,0,5,Lance Barrett,"N.Pivetta (4-46-W), K.Ort (3), J.Schreiber (4), M.Strahm (1), M.Barnes (4)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
147,147,Sep 20,@,CIN,"W,5-3",9,9,3,3,0,5,8,1,0,4.44,40,144,86,3,1,0,0,34,2,0,0,0,1,0,1,6,Cory Blaser,"B.Bello (5-50-W), R.Brasier (2-H), Z.Kelly (5-H), M.Barnes (1-H), M.Strahm (1), J.Schreiber (1-Sv)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
148,148,Sep 21,@,CIN,"L,1-5",8,8,5,5,0,1,6,1,1,4.45,33,119,80,0,0,1,0,31,0,0,0,0,0,0,0,4,Mark Ripperger,"C.Seabold (74-42-L), E.Bazardo (3), T.Danish (3), F.German (3)",C.Seabold,11.29,6.38,2.345,17.2,2.5,3.9,9.3
149,149,Sep 22,@,NYY,"L,4-5",9,9,5,4,1,7,6,1,1,4.45,40,141,83,0,0,1,0,30,1,0,1,0,2,0,4,5,Carlos Torres,"M.Wacha (5-49), J.Schreiber (1-H), R.Brasier (1-BSv), M.Barnes (1), K.Ort (3-L)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
150,150,Sep 23,@,NYY,"L,4-5",8,8,5,4,1,4,9,1,0,4.45,35,141,90,0,0,1,0,31,1,0,0,0,0,0,0,4,Brian Knight,"R.Hill (5-43), Z.Kelly (2), K.Ort (0), M.Strahm (2-L)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
151,151,Sep 24,@,NYY,"L,5-7",8,8,7,7,0,6,12,3,0,4.47,36,155,94,0,0,0,1,30,0,0,0,0,0,0,0,4,Clint Vondrak,"N.Pivetta (5-39), R.Brasier (1), J.Schreiber (1-L), E.Bazardo (2)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
152,152,Sep 25,@,NYY,"L,0-2",6,6,2,1,1,2,4,0,0,4.45,27,95,61,,,2,0,25,3,0,0,0,0,1,0,1,Chris Conroy,B.Bello (4-56-L),B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
153,153,Sep 26,,BAL,"L,8-14",9,14,14,13,1,8,7,5,0,4.51,48,192,115,3,2,0,0,40,2,2,0,0,0,0,1,6,John Libka,"C.Seabold (4-28-L), T.Danish (4), Z.Kelly (2), K.Ort (2), F.German (4), E.Bazardo (1)",C.Seabold,11.29,6.38,2.345,17.2,2.5,3.9,9.3
154,154,Sep 27,,BAL,"W,13-9",9,15,9,9,0,2,8,4,1,4.54,44,176,110,1,1,2,0,41,2,3,0,0,0,0,1,6,Gabe Morales,"M.Wacha (4-23), M.Strahm (3-W), Z.Kelly (0), J.Schreiber (2), R.Brasier (2), M.Barnes (4)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
155,155,Sep 28,,BAL,"W,3-1",9,7,1,1,0,2,12,1,0,4.52,34,140,95,0,0,0,0,32,1,0,0,0,0,0,1,4,Shane Livensparger,"R.Hill (4-70-W), R.Brasier (0-H), K.Ort (1-H), M.Barnes (0-Sv)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
156,156,Sep 29,,BAL,"W,5-3",9,9,3,2,1,1,8,1,0,4.5,38,155,103,0,0,0,0,37,2,0,0,0,0,2,0,5,Mike Muchlinski,"N.Eovaldi (47-51), E.Bazardo (2), M.Strahm (1-BSv), Z.Kelly (1-W), K.Ort (0-Sv)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5
157,157,Sep 30,@,TOR,"L,0-9",8,13,9,9,0,3,6,3,0,4.53,40,146,95,0,0,1,0,36,1,0,0,0,1,0,0,3,Andy Fletcher,"N.Pivetta (5-38-L), T.Danish (3), F.German (3)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
158,158,Oct 1,@,TOR,"L,0-10",8,21,10,10,0,3,8,2,0,4.57,46,169,106,0,0,0,0,42,4,0,0,0,1,0,2,3,Pat Hoberg,"B.Bello (5-28-L), Z.Kelly (1), J.Winckowski (26)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
159,159,Oct 2,@,TOR,"L,3-6",8,9,6,6,0,2,8,3,1,4.58,35,141,91,0,0,1,1,32,2,0,0,0,0,0,1,4,Erich Bacchus,"M.Wacha (4-33-L), E.Bazardo (2), K.Ort (2), F.German (1)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
160,160,Oct 3,,TBR,"W,4-3",9,5,3,1,2,1,8,2,0,4.56,32,128,91,0,0,0,0,31,0,1,0,0,0,1,2,4,Laz Diaz,"R.Hill (4-63), J.Schreiber (5-W), R.Brasier (4-H), M.Barnes (4-Sv)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
161,161,Oct 4,,TBR,"W,6-0",5,2,0,0,0,2,4,0,0,4.54,18,64,40,,,0,0,16,1,0,0,0,0,0,1,1,Chad Fairchild,N.Eovaldi (4-65-W),N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5
162,162,Oct 5,,TBR,"W,6-3",9,7,3,3,0,6,8,2,1,4.53,39,188,124,0,0,0,0,32,3,0,0,0,0,0,1,6,Tripp Gibson,"N.Pivetta (4-48), E.Bazardo (2-W), M.Strahm (5-H), R.Brasier (1-H), J.Schreiber (1-H), M.Barnes (1-Sv)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
