Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec),Starter,Starter ERA,Starter FIP,Starter WHIP,Starter H9,Starter HR9,Starter BB9,Starter SO9
79,79,Jul 3,@,CHC,"W,4-2",11,9,2,2,0,5,14,1,2,3.62,46,179,114,0,0,0,1,39,1,0,0,0,0,0,2,6,Brock Ballou,"C.Seabold (5-48), H.Sawamura (1), J.Schreiber (3-H), M.Strahm (3-BSv), T.Houck (0), J.Diekman (1-W)",C.Seabold,11.29,6.38,2.345,17.2,2.5,3.9,9.3
80,80,Jul 4,,TBR,"W,4-0",9,2,0,0,0,2,11,0,0,3.57,32,129,92,1,0,0,0,30,0,0,0,0,0,1,0,3,Phil Cuzzi,"A.Davis (6-57), K.Crawford (15-W), J.Schreiber (0-Sv)",A.Davis,5.47,3.94,1.564,9.3,0.8,4.8,10.1
81,81,Jul 5,,TBR,"L,4-8",9,11,8,8,0,6,8,0,1,3.63,42,148,88,1,1,1,1,34,4,0,0,0,1,0,0,4,Mark Ripperger,"N.Pivetta (5-27-L), J.Diekman (1), H.Robles (3), T.Danish (3)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
82,82,Jul 6,,TBR,"L,1-7",9,10,7,7,0,9,7,1,0,3.67,45,181,97,0,0,0,1,36,5,0,0,0,0,1,1,5,Shane Livensparger,"B.Bello (99-33-L), J.Diekman (0), H.Sawamura (2), A.Davis (1), T.Danish (0)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
83,83,Jul 7,,NYY,"L,5-6",9,7,6,6,0,5,7,2,0,3.7,39,142,84,0,0,1,0,34,1,1,0,0,0,0,0,5,Erich Bacchus,"J.Winckowski (4-28-L), M.Strahm (3), J.Schreiber (2), R.Brasier (4), A.Davis (0)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
84,84,Jul 8,,NYY,"L,5-12",9,14,12,11,1,7,8,2,1,3.79,49,199,117,1,0,4,0,40,4,1,0,1,0,0,0,4,Chad Fairchild,"C.Seabold (4-12-L), M.Feliz (99), A.Davis (0), J.Bradley (99)",C.Seabold,11.29,6.38,2.345,17.2,2.5,3.9,9.3
85,85,Jul 9,,NYY,"W,6-5",10,10,5,4,1,3,12,1,0,3.78,40,172,118,1,0,0,2,37,3,0,0,0,0,0,0,6,Jerry Layne,"K.Crawford (4-59), R.Brasier (1), M.Strahm (1), J.Schreiber (1), T.Houck (5), J.Diekman (2-W)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
86,86,Jul 10,,NYY,"W,11-6",9,11,6,6,0,2,8,2,0,3.81,38,167,115,2,0,0,0,36,1,0,0,0,0,1,2,5,Tripp Gibson,"N.Pivetta (4-23), K.Ort (99), H.Sawamura (3-W), M.Strahm (0), R.Brasier (0)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
87,87,Jul 11,@,TBR,"L,5-10",8,14,10,7,3,3,7,0,2,3.85,41,157,101,1,1,0,1,35,3,0,0,0,1,1,2,5,Nate Tomlinson,"B.Bello (4-30), A.Davis (2), J.Diekman (1-L), K.Ort (0), P.Valdez (26)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
88,88,Jul 12,@,TBR,"L,2-3",8,6,3,1,2,3,9,0,0,3.82,33,126,84,3,2,0,0,30,1,0,0,0,0,0,0,6,Chris Conroy,"C.Sale (99-65), R.Brasier (1-H), M.Strahm (1-BL), K.Ort (0), J.Schreiber (2), H.Sawamura (1)",C.Sale,3.18,2.41,1.059,7.9,0,1.6,7.9
89,89,Jul 13,@,TBR,"L,1-4",8,5,4,4,0,5,6,1,0,3.83,34,139,86,0,0,0,0,29,0,0,0,0,0,0,0,3,Ron Kulpa,"J.Winckowski (5-55-L), J.Diekman (1), P.Valdez (1)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
90,90,Jul 14,@,TBR,"L,4-5",8,9,5,5,0,0,9,0,1,3.85,33,119,81,2,2,0,0,31,5,0,0,1,0,0,0,3,Carlos Torres,"K.Crawford (4-54), J.Schreiber (1-BL), D.Hernandez (99)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
91,91,Jul 15,@,NYY,"W,5-4",11,9,4,3,1,4,10,1,1,3.83,44,159,104,1,0,0,0,39,2,0,2,0,0,0,4,5,D.J. Reyburn,"N.Eovaldi (36-41), J.Schreiber (0), G.Whitlock (37-H), T.Houck (5-BW), R.Brasier (2-Sv)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5
92,92,Jul 16,@,NYY,"L,1-14",8,12,14,14,0,8,9,4,2,3.94,47,198,123,5,2,0,0,37,2,0,0,0,0,1,0,6,John Libka,"N.Pivetta (5-22-L), D.Hernandez (1), K.Ort (3), H.Sawamura (3), A.Davis (4), J.Diekman (2)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
93,93,Jul 17,@,NYY,"L,2-13",8,14,13,12,1,6,6,2,3,4.04,47,188,110,6,2,2,0,37,2,0,0,0,1,0,1,9,Jansen Visconti,"C.Sale (4-38-L), H.Sawamura (0), D.Hernandez (0), R.Brasier (1), J.Diekman (0), T.Houck (1), G.Whitlock (1), J.Schreiber (1), K.Ort (0)",C.Sale,3.18,2.41,1.059,7.9,0,1.6,7.9
94,94,Jul 22,,TOR,"L,5-28",9,29,28,27,1,5,9,5,1,4.28,63,228,154,4,4,0,0,57,5,0,0,0,0,1,0,7,Doug Eddings,"N.Eovaldi (6-7-L), A.Davis (5), K.Ort (4), D.Hernandez (4), J.Diekman (4), H.Sawamura (4), Y.Sanchez (99)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5
95,95,Jul 23,,TOR,"L,1-4",9,7,4,4,0,4,8,0,0,4.28,35,137,86,0,0,2,1,30,2,0,0,0,1,0,2,4,Roberto Ortiz,"K.Crawford (8-53-L), J.Schreiber (5), T.Houck (5), R.Brasier (5)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
96,96,Jul 24,,TOR,"L,4-8",9,15,8,8,0,4,7,0,0,4.32,46,178,113,0,0,2,0,42,4,1,0,0,0,0,2,6,Bill Miller,"B.Bello (12-24-L), H.Sawamura (1), G.Whitlock (6), A.Davis (1), K.Ort (1), J.Diekman (1)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
97,97,Jul 25,,CLE,"W,3-1",9,8,1,1,0,3,10,0,0,4.29,37,132,90,2,0,0,0,34,0,0,0,0,0,0,1,3,Dan Iassogna,"N.Pivetta (8-54), J.Schreiber (1-W), G.Whitlock (0-Sv)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
98,98,Jul 26,,CLE,"L,3-8",9,12,8,7,1,4,8,2,1,4.31,43,176,106,0,0,3,0,38,1,0,0,0,0,0,2,6,Marty Foster,"J.Winckowski (12-27-L), A.Davis (1), H.Sawamura (1), J.Diekman (1), T.Houck (2), K.Ort (1)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
99,99,Jul 27,,CLE,"L,6-7",9,12,7,6,1,1,2,1,0,4.33,42,143,94,0,0,0,0,40,6,0,0,1,0,0,0,3,Ben May,"N.Eovaldi (4-37), J.Schreiber (1-BSv), T.Houck (0-L)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5
100,100,Jul 28,,CLE,"W,4-2",9,5,2,2,0,1,5,1,1,4.31,33,118,78,1,0,1,0,31,2,0,0,0,0,0,1,3,Scott Barry,"K.Crawford (4-61), J.Diekman (1-W), G.Whitlock (2-Sv)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
101,101,Jul 29,,MIL,"L,1-4",9,8,4,4,0,5,12,0,1,4.3,39,139,95,1,1,0,0,32,2,1,2,0,1,0,2,4,Jim Reynolds,"A.Davis (2-59), B.Bello (4-L), R.Brasier (5), H.Sawamura (2)",A.Davis,5.47,3.94,1.564,9.3,0.8,4.8,10.1
102,102,Jul 30,,MIL,"L,4-9",9,14,9,9,0,5,9,3,1,4.35,46,179,112,3,2,3,0,38,6,0,1,0,2,0,1,5,John Libka,"N.Pivetta (4-35-L), K.Ort (3), J.Diekman (1), R.Brasier (0), H.Sawamura (0)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
103,103,Jul 31,,MIL,"W,7-2",9,11,2,2,0,1,4,1,1,4.33,37,137,95,2,0,0,1,35,2,0,1,0,0,0,2,4,Mike Muchlinski,"J.Winckowski (4-45-W), G.Whitlock (2-H), A.Davis (1), J.Schreiber (3)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
104,104,Aug 1,@,HOU,"W,3-2",9,6,2,0,2,3,9,0,0,4.29,36,146,87,1,0,0,0,32,2,0,0,0,1,0,1,3,Angel Hernandez,"N.Eovaldi (4-63-W), J.Schreiber (0-H), T.Houck (4-Sv)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5
105,105,Aug 2,@,HOU,"W,2-1",9,9,1,1,0,2,8,0,0,4.25,37,141,94,2,0,1,1,35,2,0,0,0,0,0,0,4,James Hoye,"K.Crawford (4-59-W), H.Sawamura (2-H), A.Davis (1-H), T.Houck (0-Sv)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
106,106,Aug 3,@,HOU,"L,1-6",8,12,6,6,0,0,6,1,1,4.27,36,137,94,2,0,0,0,34,4,0,0,0,1,0,0,5,Jim Wolf,"R.Hill (32-32-L), B.Bello (4), H.Sawamura (0), K.Ort (3), R.Brasier (3)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
107,107,Aug 4,@,KCR,"L,3-7",8,11,7,7,0,3,6,2,0,4.3,36,138,92,0,0,4,1,32,1,0,0,0,1,0,1,3,Bill Welke,"N.Pivetta (4-45), M.Barnes (65), D.Hernandez (12-L)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
108,108,Aug 5,@,KCR,"W,7-4",9,9,4,4,0,5,10,1,0,4.3,41,156,97,2,2,0,0,35,2,1,0,0,1,0,0,5,Chris Segal,"J.Winckowski (4-55-W), R.Brasier (1), H.Sawamura (1), A.Davis (2), J.Schreiber (3)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
109,109,Aug 6,@,KCR,"L,4-5",8.2,8,5,5,0,0,8,3,0,4.31,33,126,90,0,0,1,0,33,0,0,0,0,0,0,1,2,Junior Valentine,"N.Eovaldi (4-49), G.Whitlock (5-L)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5
110,110,Aug 7,@,KCR,"L,5-13",8,11,13,13,0,6,6,1,1,4.39,40,141,87,3,3,0,1,31,3,2,0,0,2,0,0,6,Gabe Morales,"K.Crawford (4-39-L), R.Brasier (1), J.Schreiber (1), M.Barnes (2), D.Hernandez (2), A.Davis (1)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
111,111,Aug 9,,ATL,"L,7-9",11,13,9,7,2,7,4,1,0,4.41,51,200,136,6,0,1,0,44,4,2,1,0,0,0,1,8,Ben May,"R.Hill (5-31), R.Brasier (1), M.Barnes (1-BSv), H.Sawamura (3), J.Schreiber (1), G.Whitlock (2), K.Ort (5-L), A.Davis (1)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
112,112,Aug 10,,ATL,"L,4-8",9,12,8,8,0,2,10,2,0,4.44,39,174,113,1,0,1,0,36,1,0,0,0,1,0,2,5,Adam Beck,"N.Pivetta (5-53-L), D.Hernandez (2), R.Brasier (0), A.Davis (0), K.Ort (0)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
113,113,Aug 11,,BAL,"W,4-3",9,8,3,3,0,2,6,0,0,4.43,36,134,91,1,0,1,0,34,0,1,0,0,0,0,1,4,Nick Mahrley,"J.Winckowski (5-45), A.Davis (0-W), M.Barnes (1-H), J.Schreiber (1-Sv)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
114,114,Aug 12,,NYY,"W,3-2",10,9,2,2,0,3,8,1,1,4.4,41,168,111,0,0,2,1,37,1,0,0,0,0,0,1,4,Mark Carlson,"N.Eovaldi (5-49), M.Barnes (0), R.Brasier (1), G.Whitlock (2-W)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5
115,115,Aug 13,,NYY,"L,2-3",9,6,3,3,0,5,11,1,0,4.39,37,141,88,0,0,0,1,32,1,0,0,0,0,1,1,3,Jordan Baker,"K.Crawford (5-61), H.Sawamura (3), J.Schreiber (1-L)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
116,116,Aug 14,,NYY,"W,3-0",9,2,0,0,0,1,11,0,0,4.35,30,117,79,0,0,1,0,29,0,0,0,0,0,0,0,3,Ryan Additon,"M.Wacha (46-81-W), R.Brasier (1-H), G.Whitlock (1-Sv)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
117,117,Aug 16,@,PIT,"W,5-3",9,4,3,3,0,4,9,0,0,4.34,35,139,89,3,3,0,0,31,1,0,0,0,0,0,0,4,Roberto Ortiz,"N.Pivetta (5-78-W), A.Davis (4), J.Schreiber (2-H), M.Barnes (3-Sv)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
118,118,Aug 17,@,PIT,"W,8-3",9,6,3,3,0,0,9,1,0,4.33,33,115,82,0,0,0,0,33,1,0,0,0,0,1,1,4,Doug Eddings,"R.Hill (7-57-W), R.Brasier (2-H), H.Sawamura (3-H), J.Familia (16)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
119,119,Aug 18,@,PIT,"L,2-8",8,10,8,8,0,2,6,2,0,4.36,36,138,92,0,0,0,0,34,2,0,0,0,0,0,0,2,Bill Miller,"J.Winckowski (6-30-L), A.Davis (1)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
120,120,Aug 19,@,BAL,"L,10-15",8,18,15,15,0,3,6,5,1,4.46,45,168,109,2,1,0,0,40,6,0,0,0,1,0,0,6,,"K.Crawford (5-5-L), H.Sawamura (1), R.Brasier (1), J.Familia (1), M.Barnes (2), M.Strahm (37)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
121,121,Aug 20,@,BAL,"W,4-3",9,8,3,2,1,1,8,0,0,4.44,35,123,86,2,0,0,0,34,0,1,0,0,0,0,1,3,Mike Estabrook,"M.Wacha (5-64-W), J.Schreiber (3-H), G.Whitlock (5-Sv)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
122,122,Aug 21,@,BAL,"L,3-5",8,8,5,5,0,5,13,0,2,4.45,39,167,102,3,1,0,0,32,2,0,0,0,0,0,0,5,Will Little,"N.Pivetta (4-57), M.Strahm (1), M.Barnes (1-L), J.Schreiber (0), A.Davis (2)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
123,123,Aug 23,,TOR,"L,3-9",9,13,9,9,0,5,7,0,0,4.48,44,172,112,3,3,0,0,39,5,2,0,0,0,0,1,6,Tripp Gibson,"J.Winckowski (4-22-L), A.Davis (1), J.Familia (3), H.Sawamura (3), R.Brasier (3), R.McGuire (99)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
124,124,Aug 24,,TOR,"L,2-3",10,10,3,2,1,1,11,0,0,4.46,40,130,92,0,0,0,0,39,1,0,0,0,0,0,1,5,Laz Diaz,"B.Bello (20-53), M.Barnes (2), G.Whitlock (3), J.Schreiber (2), R.Brasier (0-L)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
125,125,Aug 25,,TOR,"L,5-6",10,13,6,5,1,7,9,1,0,4.46,48,190,110,2,0,1,0,41,2,0,0,0,0,0,2,6,Chad Fairchild,"K.Crawford (5-31), M.Strahm (3), J.Familia (1), H.Sawamura (1), M.Barnes (0), J.Schreiber (0-L)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
126,126,Aug 26,,TBR,"W,9-8",9,9,8,8,0,2,10,3,2,4.49,39,144,93,0,0,1,0,34,3,0,0,0,1,0,1,5,Roberto Ortiz,"M.Wacha (5-51-W), M.Strahm (0), R.Brasier (1), M.Barnes (0-H), G.Whitlock (1-Sv)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
127,127,Aug 27,,TBR,"W,5-1",9,6,1,1,0,2,12,0,0,4.46,35,141,99,2,0,1,0,33,0,0,0,0,0,0,0,3,Doug Eddings,"R.Hill (9-81-W), J.Familia (1), J.Schreiber (1-Sv)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
128,128,Aug 28,,TBR,"L,4-12",9,17,12,10,2,6,7,2,0,4.5,49,199,128,0,0,1,0,42,5,0,0,0,1,0,0,4,Bill Miller,"N.Pivetta (6-32-L), H.Sawamura (2), R.Brasier (1), A.Davis (4)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
129,129,Aug 29,@,MIN,"L,2-4",8,7,4,4,0,6,8,0,0,4.5,36,161,93,5,3,0,1,29,1,0,0,0,1,0,0,5,Jerry Meals,"B.Bello (4-39-L), M.Strahm (2), J.Schreiber (1-BSv), Z.Kelly (99), K.Ort (18)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
130,130,Aug 30,@,MIN,"L,5-10",8,9,10,9,1,6,8,3,1,4.54,40,149,91,2,2,0,0,33,3,0,0,0,0,1,0,5,Vic Carapazza,"K.Crawford (4-38-L), R.Brasier (1), J.Familia (2), Z.Kelly (0), M.Barnes (3)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9
131,131,Aug 31,@,MIN,"W,6-5",9,9,5,5,0,3,10,1,0,4.55,38,151,97,0,0,0,0,34,3,0,0,0,1,1,1,3,Adam Beck,"M.Wacha (4-62-W), G.Whitlock (4), M.Barnes (0-Sv)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
132,132,Sep 1,,TEX,"W,9-8",9,13,8,8,0,7,5,1,0,4.57,47,184,108,2,2,2,0,39,1,0,0,0,1,0,0,6,Tripp Gibson,"R.Hill (4-34), J.Schreiber (2), K.Ort (2), Z.Kelly (1), E.Bazardo (99), J.Familia (1-W)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
133,133,Sep 2,,TEX,"W,9-1",9,6,1,1,0,3,6,0,0,4.55,35,114,77,1,0,1,0,32,2,0,0,0,0,0,0,6,Brian O'Nora,"N.Pivetta (4-47), T.Danish (57-W), M.Strahm (3-H), R.Brasier (2), K.Ort (0), E.Bazardo (0)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8
134,134,Sep 3,,TEX,"W,5-3",9,10,3,3,0,1,9,2,0,4.53,38,139,98,3,0,0,0,37,0,0,0,0,0,0,0,4,Chad Fairchild,"B.Bello (4-70-W), G.Whitlock (2-H), M.Barnes (2-H), J.Schreiber (1-Sv)",B.Bello,4.71,2.94,1.779,11.8,0.2,4.2,8.6
135,135,Sep 4,,TEX,"W,5-2",9,4,2,2,0,4,7,0,0,4.51,34,157,96,1,0,1,1,30,1,0,0,0,0,0,0,5,Nick Mahrley,"J.Winckowski (11-48), K.Ort (1-W), J.Familia (2-H), M.Strahm (1-H), J.Schreiber (0-Sv)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6
136,136,Sep 5,@,TBR,"L,3-4",8,9,4,4,0,0,8,0,1,4.51,34,125,86,1,1,1,0,33,5,0,0,0,0,0,0,3,,"M.Wacha (4-57), J.Familia (0-BL), Z.Kelly (3)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4
137,137,Sep 6,@,TBR,"L,4-8",8,13,8,8,0,2,8,3,1,4.54,37,137,92,0,0,0,0,34,4,0,0,0,0,0,2,4,Lance Barksdale,"R.Hill (4-26-L), E.Bazardo (3), T.Danish (3), R.Brasier (3)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9
