Rk,Gtm,Date,Team,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec),Starter,Starter ERA,Starter FIP,Starter WHIP,Starter H9,Starter HR9,Starter BB9,Starter SO9,Opp BatAge,Opp RpG,Opp BA,Opp OBP,Opp SLG,Opp OPS,Bullpen ERA,Bullpen WHIP,Bullpen SO9
523,37,May 17,TBR,,DET,"W,8-1",9,7,1,1,0,0,9,1,0,3.54,33,122,86,0,0,0,0,33,0,0,0,0,0,1,2,2,Jeremy Riggs,"S.McClanahan (5-72-W), R.Garza (8)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,27.9,3.44,0.231,0.286,0.346,0.632,3.36,1.165,8.7
524,38,May 18,TBR,,DET,"W,6-1",9,5,1,1,0,1,11,1,0,3.47,32,142,99,0,0,0,0,31,1,0,0,0,0,0,1,4,D.J. Reyburn,"D.Rasmussen (4-66-W), M.Wisler (2), C.Poche (2), J.Feyereisen (2)",D.Rasmussen,2.84,3.26,1.041,7.5,0.8,1.9,7.7,27.9,3.44,0.231,0.286,0.346,0.632,3.36,1.165,8.7
525,39,May 20,TBR,@,BAL,"L,6-8",12.1,11,8,3,5,4,11,1,1,3.42,53,165,111,4,3,0,0,47,2,0,1,1,0,2,1,9,Gabe Morales,"J.Beeks (3-54), R.Yarbrough (5), B.Raley (6-H), J.Feyereisen (1-BSv), J.Adam (5), C.Poche (1), M.Wisler (1-BSv), R.Thompson (5-BSv), R.Garza (2-L)",J.Beeks,2.8,3.49,1.164,7.2,1,3.2,10.3,27,4.16,0.236,0.305,0.39,0.695,3.36,1.165,8.7
526,40,May 21,TBR,@,BAL,"W,6-1",9,6,1,1,0,4,11,0,0,3.36,36,132,88,2,0,0,0,32,0,2,0,0,0,0,1,4,Andy Fletcher,"J.Springs (5-70-W), J.Adam (0), R.Garza (0), C.Poche (0)",J.Springs,2.46,3.04,1.071,7.6,0.9,2.1,9.6,27,4.16,0.236,0.305,0.39,0.695,3.36,1.165,8.7
527,41,May 22,TBR,@,BAL,"L,6-7",10.1,10,7,5,2,6,7,1,1,3.39,52,217,137,2,0,1,0,44,2,0,1,1,0,3,0,9,Bill Welke,"C.Kluber (5-41), J.Adam (0), M.Wisler (1-H), B.Raley (1-H), J.Feyereisen (1-H), J.Beeks (1-H), R.Thompson (1-BSv), R.Garza (0), D.Knight (38-L)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,27,4.16,0.236,0.305,0.39,0.695,3.36,1.165,8.7
528,42,May 24,TBR,,MIA,"W,4-0",9,5,0,0,0,3,10,0,0,3.31,32,150,99,0,0,0,0,29,0,0,0,0,0,0,2,3,Dan Iassogna,"S.McClanahan (6-71-W), D.Knight (1), R.Thompson (1)",S.McClanahan,2.54,3,0.926,6.3,1,2.1,10.5,28.8,3.62,0.23,0.294,0.363,0.658,3.36,1.165,8.7
529,43,May 25,TBR,,MIA,"W,5-4",9,9,4,3,1,4,12,1,0,3.3,38,159,106,0,0,0,0,34,2,0,0,0,0,1,2,5,Dan Bellino,"D.Rasmussen (6-48-W), J.Adam (2-H), M.Wisler (2-H), J.Feyereisen (2-H), C.Poche (3-Sv)",D.Rasmussen,2.84,3.26,1.041,7.5,0.8,1.9,7.7,28.8,3.62,0.23,0.294,0.363,0.658,3.36,1.165,8.7
530,44,May 26,TBR,,NYY,"L,2-7",9,6,7,5,2,5,6,0,1,3.34,39,150,96,3,3,1,0,32,1,0,0,0,1,0,0,4,Paul Emmel,"R.Yarbrough (5-58-L), R.Thompson (1), R.Garza (3), B.Raley (3)",R.Yarbrough,4.5,4.77,1.375,9.9,1.4,2.5,6.9,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
531,45,May 27,TBR,,NYY,"L,0-2",9,6,2,2,0,1,10,2,0,3.31,34,124,89,2,0,0,0,33,1,0,0,0,0,0,0,3,,"J.Springs (5-60-L), J.Beeks (4), M.Wisler (1)",J.Springs,2.46,3.04,1.071,7.6,0.9,2.1,9.6,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
532,46,May 28,TBR,,NYY,"W,3-1",9,4,1,1,0,0,9,0,0,3.26,29,125,86,0,0,0,0,28,1,0,0,0,1,0,1,4,Edwin Moscoso,"C.Kluber (5-67), J.Feyereisen (2-W), J.Adam (2-H), C.Poche (2-Sv)",C.Kluber,4.34,3.57,1.213,9.8,1.1,1.2,7.6,30.2,4.98,0.241,0.325,0.426,0.751,3.36,1.165,8.7
