Rk,Gtm,Date,Team,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec),Starter,Starter ERA,Starter FIP,Starter WHIP,Starter H9,Starter HR9,Starter BB9,Starter SO9,Opp BatAge,Opp RpG,Opp BA,Opp OBP,Opp SLG,Opp OPS,Bullpen ERA,Bullpen WHIP,Bullpen SO9
1,1,Apr 8,BOS,@,NYY,"L,5-6",10,9,6,4,2,4,15,3,2,3.6,46,162,115,3,1,0,0,39,1,0,2,0,1,0,0,7,Laz Diaz,"N.Eovaldi (99-51), G.Whitlock (99-BSv), M.Strahm (99), H.Robles (99), J.Diekman (99-H), R.Brasier (99-BSv), K.Crawford (99-L)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,30.2,4.98,0.241,0.325,0.426,0.751,4.59,1.356,9.1
2,2,Apr 9,BOS,@,NYY,"L,2-4",8,4,4,4,0,3,5,2,0,4,30,109,68,0,0,0,0,27,0,0,0,0,0,0,0,4,Brian O'Nora,"N.Pivetta (99-46-L), A.Davis (99), H.Sawamura (99), P.Valdez (99)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,30.2,4.98,0.241,0.325,0.426,0.751,4.59,1.356,9.1
3,3,Apr 10,BOS,@,NYY,"W,4-3",9,11,3,3,0,4,9,0,1,3.67,41,170,105,3,2,1,0,36,2,0,0,0,0,0,2,6,Tripp Gibson,"T.Houck (99-36), R.Brasier (1), K.Crawford (1-W), M.Strahm (1-H), H.Robles (1-H), J.Diekman (1-Sv)",T.Houck,3.15,3.3,1.183,7.4,0.5,3.3,8.4,30.2,4.98,0.241,0.325,0.426,0.751,4.59,1.356,9.1
4,4,Apr 11,BOS,@,DET,"L,1-3",8,8,3,3,0,3,10,1,0,3.6,35,145,96,3,1,0,0,31,2,0,0,0,1,0,0,6,Stu Scheurwater,"M.Wacha (99-56), M.Strahm (0), M.Barnes (99), A.Davis (1-L), R.Brasier (0), P.Valdez (1)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,27.9,3.44,0.231,0.286,0.346,0.632,4.59,1.356,9.1
5,5,Apr 12,BOS,@,DET,"W,5-3",9,5,3,3,0,2,6,0,0,3.48,33,112,85,1,0,0,0,31,3,0,0,0,0,0,0,3,Jeff Nelson,"R.Hill (99-44), H.Sawamura (2), G.Whitlock (3-W)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,27.9,3.44,0.231,0.286,0.346,0.632,4.59,1.356,9.1
6,6,Apr 13,BOS,@,DET,"W,9-7",9,11,7,7,0,3,12,3,1,4.08,42,194,128,8,2,0,0,38,1,0,0,0,0,0,0,6,CB Bucknor,"N.Eovaldi (4-56-W), M.Barnes (1), A.Davis (1), K.Crawford (2), J.Diekman (2-H), H.Robles (2-Sv)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27.9,3.44,0.231,0.286,0.346,0.632,4.59,1.356,9.1
7,7,Apr 15,BOS,,MIN,"L,4-8",9,9,8,8,0,8,13,1,2,4.65,44,197,114,0,0,2,1,34,4,0,0,0,0,0,1,6,Jerry Layne,"N.Pivetta (5-30-L), P.Valdez (3), H.Sawamura (2), R.Brasier (3), A.Davis (1), M.Barnes (1)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,26.9,4.3,0.248,0.317,0.401,0.718,4.59,1.356,9.1
8,8,Apr 16,BOS,,MIN,"W,4-0",9,5,0,0,0,4,10,0,0,4.06,33,133,83,2,0,0,1,29,1,0,0,0,0,0,2,3,Hunter Wendelstedt,"T.Houck (5-66-W), M.Strahm (4), G.Whitlock (3)",T.Houck,3.15,3.3,1.183,7.4,0.5,3.3,8.4,26.9,4.3,0.248,0.317,0.401,0.718,4.59,1.356,9.1
9,9,Apr 17,BOS,,MIN,"W,8-1",9,4,1,1,0,3,10,0,0,3.71,33,148,95,1,1,0,0,29,0,0,0,0,1,0,1,5,Chad Whitson,"M.Wacha (5-68), M.Strahm (0-W), R.Brasier (1-H), J.Diekman (3-H), A.Davis (1)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,26.9,4.3,0.248,0.317,0.401,0.718,4.59,1.356,9.1
10,10,Apr 18,BOS,,MIN,"L,3-8",9,9,8,8,0,7,6,2,0,4.15,42,165,102,3,1,1,0,35,0,0,1,0,0,0,1,4,,"R.Hill (5-36-L), P.Valdez (2), K.Crawford (4), H.Sawamura (2)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,26.9,4.3,0.248,0.317,0.401,0.718,4.59,1.356,9.1
11,11,Apr 19,BOS,,TOR,"W,2-1",9,8,1,1,0,1,9,1,0,3.86,36,152,100,1,0,0,0,35,0,0,0,0,0,0,0,5,D.J. Reyburn,"N.Eovaldi (5-51), M.Strahm (1), H.Robles (5-W), J.Diekman (1-H), G.Whitlock (2-Sv)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27.1,4.78,0.264,0.329,0.431,0.76,4.59,1.356,9.1
12,12,Apr 20,BOS,,TOR,"L,1-6",9,9,6,6,0,5,11,1,1,4.04,42,173,110,0,0,2,0,34,0,0,0,0,2,0,1,4,,"N.Pivetta (4-28-L), P.Valdez (1), M.Barnes (4), T.Danish (99)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,27.1,4.78,0.264,0.329,0.431,0.76,4.59,1.356,9.1
13,13,Apr 21,BOS,,TOR,"L,2-3",9,9,3,3,0,2,8,0,0,3.96,37,146,97,3,0,1,0,34,2,0,0,0,1,0,0,5,James Hoye,"T.Houck (4-56-L), R.Brasier (3), A.Davis (3), H.Sawamura (2), P.Valdez (0)",T.Houck,3.15,3.3,1.183,7.4,0.5,3.3,8.4,27.1,4.78,0.264,0.329,0.431,0.76,4.59,1.356,9.1
14,14,Apr 22,BOS,@,TBR,"W,4-3",9,6,3,2,1,5,7,2,0,3.82,38,162,93,4,0,0,0,33,0,0,0,0,0,2,0,6,Vic Carapazza,"M.Wacha (4-54-W), A.Davis (0-H), M.Strahm (2-H), H.Robles (2-H), J.Diekman (2-H), M.Barnes (1-Sv)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,27,4.11,0.239,0.309,0.377,0.686,4.59,1.356,9.1
15,15,Apr 23,BOS,@,TBR,"L,2-3",9.2,3,3,0,3,2,14,1,0,3.54,34,133,89,0,0,1,0,32,1,0,0,0,0,1,1,5,Ed Hickox,"G.Whitlock (3-67), A.Davis (0), K.Crawford (4), T.Danish (2), H.Robles (0-BL)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,27,4.11,0.239,0.309,0.377,0.686,4.59,1.356,9.1
16,16,Apr 24,BOS,@,TBR,"L,2-5",8,9,5,5,0,4,3,1,3,3.66,37,126,71,6,4,0,1,30,2,0,0,0,0,0,0,6,Ryan Wills,"R.Hill (5-52), P.Valdez (2-L), R.Brasier (2-BSv), M.Barnes (1), J.Diekman (1), T.Houck (2)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,27,4.11,0.239,0.309,0.377,0.686,4.59,1.356,9.1
17,17,Apr 25,BOS,@,TOR,"L,2-6",8,10,6,6,0,0,6,3,0,3.82,32,97,74,2,2,0,0,32,1,0,0,0,0,0,2,3,Dan Bellino,"N.Eovaldi (5-64), M.Strahm (2-L), T.Danish (1)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27.1,4.78,0.264,0.329,0.431,0.76,4.59,1.356,9.1
18,18,Apr 26,BOS,@,TOR,"L,5-6",9.2,8,6,5,1,6,10,1,0,3.87,42,180,114,5,1,0,1,34,2,0,1,1,1,0,0,8,David Rackley,"N.Pivetta (5-52), H.Sawamura (4), A.Davis (2), R.Brasier (1), H.Robles (2-H), J.Diekman (1-BSv), M.Barnes (1-L), M.Strahm (0)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,27.1,4.78,0.264,0.329,0.431,0.76,4.59,1.356,9.1
19,19,Apr 27,BOS,@,TOR,"W,7-1",9,5,1,1,0,3,8,0,0,3.72,35,141,87,1,0,1,0,32,1,0,0,0,0,0,0,5,Sean Barber,"M.Wacha (4-63-W), J.Diekman (0-H), H.Sawamura (0-H), J.Schreiber (99), T.Danish (1)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,27.1,4.78,0.264,0.329,0.431,0.76,4.59,1.356,9.1
20,20,Apr 28,BOS,@,TOR,"L,0-1",8,6,1,0,1,3,5,0,0,3.55,34,131,84,1,0,1,0,31,1,0,0,0,0,1,0,6,Larry Vanover,"G.Whitlock (4-49-L), A.Davis (1), J.Schreiber (0), R.Brasier (1), M.Barnes (1), H.Robles (1)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,27.1,4.78,0.264,0.329,0.431,0.76,4.59,1.356,9.1
21,21,Apr 29,BOS,@,BAL,"W,3-1",9,5,1,1,0,4,10,1,0,3.43,35,143,92,2,0,0,0,31,0,0,0,0,0,0,1,5,Adrian Johnson,"R.Hill (4-64), T.Houck (4-W), J.Diekman (1-H), H.Robles (0-H), M.Strahm (2-Sv)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,27,4.16,0.236,0.305,0.39,0.695,4.59,1.356,9.1
22,22,Apr 30,BOS,@,BAL,"L,1-2",9,5,2,1,1,1,9,0,0,3.32,35,133,90,0,0,0,0,34,2,0,1,0,0,1,0,4,John Tumpane,"N.Eovaldi (4-79), M.Barnes (1-BSv), R.Brasier (1), H.Sawamura (2-L)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27,4.16,0.236,0.305,0.39,0.695,4.59,1.356,9.1
23,23,May 1,BOS,@,BAL,"L,5-9",8,13,9,9,0,4,6,1,1,3.59,41,165,107,6,2,0,2,35,2,0,1,0,1,1,0,6,Ryan Blakney,"N.Pivetta (4-44-L), A.Davis (2), H.Sawamura (0), K.Crawford (7), P.Valdez (6), K.Plawecki (99)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,27,4.16,0.236,0.305,0.39,0.695,4.59,1.356,9.1
24,24,May 3,BOS,,LAA,"W,4-0",9,3,0,0,0,3,5,0,0,3.43,30,101,70,1,0,0,0,27,0,0,0,0,0,0,3,4,Bruce Dreckman,"M.Wacha (5-63-W), J.Diekman (3-H), R.Brasier (2-H), H.Sawamura (1)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,27.9,3.85,0.233,0.297,0.39,0.687,4.59,1.356,9.1
25,25,May 4,BOS,,LAA,"L,5-10",10,8,10,9,1,4,16,4,0,3.64,42,180,112,4,3,0,0,38,1,0,0,0,0,0,0,7,Pat Hoberg,"G.Whitlock (5-64), A.Davis (2-BSv), M.Strahm (4), H.Robles (4-H), J.Diekman (0-BSv), M.Barnes (3-L), H.Sawamura (0)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,27.9,3.85,0.233,0.297,0.39,0.687,4.59,1.356,9.1
26,26,May 5,BOS,,LAA,"L,0-8",9,8,8,8,0,2,12,2,1,3.81,38,154,96,2,2,0,0,35,0,0,0,0,0,0,0,3,Paul Emmel,"R.Hill (5-70), T.Houck (5-L), K.Crawford (3)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,27.9,3.85,0.233,0.297,0.39,0.687,4.59,1.356,9.1
27,27,May 6,BOS,,CHW,"L,2-4",9,10,4,4,0,5,7,1,0,3.82,40,162,104,2,0,2,0,32,1,0,0,1,2,0,1,5,Chris Conroy,"N.Eovaldi (5-44-L), A.Davis (1), J.Schreiber (7), R.Brasier (2), M.Barnes (1)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,29.3,4.23,0.256,0.31,0.387,0.698,4.59,1.356,9.1
28,28,May 7,BOS,,CHW,"L,1-3",10,11,3,2,1,1,11,0,1,3.74,43,160,104,2,0,2,0,40,2,0,0,0,1,0,0,6,Carlos Torres,"N.Pivetta (5-70), R.Brasier (0-H), J.Schreiber (0-H), M.Strahm (2-H), H.Robles (2-BSv), M.Barnes (0-L)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,29.3,4.23,0.256,0.31,0.387,0.698,4.59,1.356,9.1
29,29,May 8,BOS,,CHW,"L,2-3",9,6,3,3,0,1,10,0,3,3.71,36,130,82,2,0,1,0,31,1,0,0,1,0,0,1,7,Ron Kulpa,"T.Houck (2-40-L), H.Sawamura (3), T.Danish (10), A.Davis (1), H.Robles (0), J.Diekman (3), M.Strahm (0)",T.Houck,3.15,3.3,1.183,7.4,0.5,3.3,8.4,29.3,4.23,0.256,0.31,0.387,0.698,4.59,1.356,9.1
30,30,May 10,BOS,@,ATL,"W,9-4",9,6,4,4,0,5,10,1,0,3.72,38,174,113,0,0,2,0,32,1,0,0,0,1,0,0,5,Jordan Baker,"G.Whitlock (5-40), T.Danish (1-W), R.Brasier (2-H), H.Robles (1-H), J.Schreiber (2-Sv)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,27.5,4.87,0.253,0.317,0.443,0.761,4.59,1.356,9.1
31,31,May 11,BOS,@,ATL,"L,3-5",8.1,8,5,5,0,1,8,2,1,3.77,35,125,86,1,0,1,0,33,2,0,0,0,0,0,0,4,Adam Beck,"N.Eovaldi (4-54), M.Strahm (2), J.Schreiber (0), R.Brasier (0-L)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27.5,4.87,0.253,0.317,0.443,0.761,4.59,1.356,9.1
32,32,May 13,BOS,@,TEX,"W,7-1",9,4,1,1,0,2,5,0,0,3.69,33,120,81,0,0,1,0,31,0,1,0,0,0,0,0,2,Junior Valentine,"N.Pivetta (5-70-W), K.Crawford (7)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,28,4.36,0.239,0.301,0.395,0.696,4.59,1.356,9.1
33,33,May 14,BOS,@,TEX,"W,11-3",9,7,3,2,1,1,7,0,0,3.63,35,132,91,1,0,2,0,34,2,0,0,0,0,1,1,4,Bill Miller,"R.Hill (8-52-W), H.Sawamura (5), M.Barnes (6), J.Diekman (5)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,28,4.36,0.239,0.301,0.395,0.696,4.59,1.356,9.1
34,34,May 15,BOS,@,TEX,"L,1-7",8,6,7,7,0,3,6,4,0,3.75,33,128,82,1,0,0,0,30,1,0,0,0,0,0,0,4,Brian Knight,"A.Davis (6-57), T.Houck (6), R.Brasier (3-L), T.Danish (4)",A.Davis,5.47,3.94,1.564,9.3,0.8,4.8,10.1,28,4.36,0.239,0.301,0.395,0.696,4.59,1.356,9.1
35,35,May 16,BOS,,HOU,"W,6-3",9,7,3,3,0,3,7,1,2,3.73,38,143,95,5,1,0,0,31,3,0,0,1,1,0,1,6,Cory Blaser,"G.Whitlock (5-54), J.Diekman (1-BSv), J.Schreiber (4), M.Barnes (1), M.Strahm (4-W), H.Robles (5-Sv)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,29.3,4.55,0.248,0.319,0.424,0.743,4.59,1.356,9.1
36,36,May 17,BOS,,HOU,"L,4-13",9,15,13,9,4,1,8,6,1,3.87,45,131,96,0,0,0,0,43,2,0,0,0,0,1,1,7,Nick Mahrley,"N.Eovaldi (5-9-L), T.Danish (1), H.Sawamura (2), R.Brasier (1), M.Barnes (0), J.Diekman (0), A.Davis (1)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,29.3,4.55,0.248,0.319,0.424,0.743,4.59,1.356,9.1
37,37,May 18,BOS,,HOU,"W,5-1",9,2,1,1,0,0,8,1,0,3.79,29,112,78,,,0,0,29,1,0,0,0,0,0,0,1,Will Little,N.Pivetta (4-87-W),N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,29.3,4.55,0.248,0.319,0.424,0.743,4.59,1.356,9.1
38,38,May 19,BOS,,SEA,"W,12-6",9,10,6,6,0,4,11,2,0,3.85,41,168,96,3,1,0,0,37,2,0,0,0,0,0,0,6,Scott Barry,"R.Hill (4-29), T.Houck (3-W), J.Schreiber (2-H), H.Sawamura (1), M.Strahm (2-H), R.Brasier (1)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,27.5,4.26,0.23,0.315,0.39,0.704,4.59,1.356,9.1
39,39,May 20,BOS,,SEA,"W,7-3",9,5,3,2,1,4,9,1,0,3.81,36,151,89,2,0,0,0,32,2,0,0,0,0,1,1,5,Dan Bellino,"M.Wacha (16-48), A.Davis (2-W), J.Diekman (2-H), J.Schreiber (0-H), M.Strahm (0)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,27.5,4.26,0.23,0.315,0.39,0.704,4.59,1.356,9.1
40,40,May 21,BOS,,SEA,"W,6-5",9,12,5,5,0,0,11,0,0,3.84,38,145,95,0,0,1,0,38,3,0,0,0,0,0,1,6,Adam Hamari,"G.Whitlock (4-22), T.Danish (3), J.Diekman (0), H.Robles (4), J.Schreiber (0-W), M.Barnes (3-Sv)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,27.5,4.26,0.23,0.315,0.39,0.704,4.59,1.356,9.1
41,41,May 22,BOS,,SEA,"W,8-4",10,9,4,3,1,1,14,2,0,3.8,39,154,101,2,0,0,0,38,1,0,0,0,0,0,1,4,Clint Vondrak,"N.Eovaldi (4-68), A.Davis (1-H), H.Robles (0-BSv), J.Diekman (0-W)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27.5,4.26,0.23,0.315,0.39,0.704,4.59,1.356,9.1
42,42,May 24,BOS,@,CHW,"W,16-3",9,6,3,3,0,4,9,1,0,3.79,37,152,94,0,0,0,0,33,3,0,0,0,0,0,0,4,Alan Porter,"N.Pivetta (5-53-W), H.Sawamura (4), M.Barnes (2), T.Danish (2)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,29.3,4.23,0.256,0.31,0.387,0.698,4.59,1.356,9.1
43,43,May 25,BOS,@,CHW,"L,1-3",8,5,3,2,1,3,4,1,0,3.75,32,122,83,0,0,0,0,29,1,0,0,0,0,1,1,2,Ryan Wills,"R.Hill (5-53-L), T.Houck (5)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,29.3,4.23,0.256,0.31,0.387,0.698,4.59,1.356,9.1
44,44,May 26,BOS,@,CHW,"W,16-7",9,10,7,7,0,5,7,1,0,3.83,42,178,106,3,1,0,0,36,2,0,0,0,1,0,0,6,Todd Tichenor,"M.Wacha (5-31), J.Schreiber (4-W), T.Danish (1), M.Barnes (1), H.Sawamura (1), A.Davis (3)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,29.3,4.23,0.256,0.31,0.387,0.698,4.59,1.356,9.1
45,45,May 27,BOS,,BAL,"L,8-12",9,15,12,11,1,4,6,3,0,3.99,45,158,104,2,2,0,0,40,1,0,0,0,1,0,1,5,,"G.Whitlock (5-57), J.Diekman (4), J.Schreiber (0-H), M.Strahm (6-BL), H.Sawamura (0)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,27,4.16,0.236,0.305,0.39,0.695,4.59,1.356,9.1
46,46,May 28(1),BOS,,BAL,"W,5-3",9,7,3,2,1,1,6,1,0,3.94,33,108,75,,,1,0,32,1,0,0,0,0,1,3,1,Adrian Johnson,N.Eovaldi (5-68-W),N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27,4.16,0.236,0.305,0.39,0.695,4.59,1.356,9.1
47,47,May 28(2),BOS,,BAL,"L,2-4",9,7,4,4,0,4,7,1,0,3.95,38,137,86,0,0,2,0,34,1,0,0,0,0,1,1,7,Erich Bacchus,"J.Winckowski (99-32-L), A.Davis (1), R.Brasier (8), T.Danish (1), J.Diekman (0), M.Barnes (1), P.Valdez (26)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6,27,4.16,0.236,0.305,0.39,0.695,4.59,1.356,9.1
48,48,May 29,BOS,,BAL,"W,12-2",9,7,2,2,0,4,7,0,1,3.91,36,139,84,0,0,0,0,31,3,0,0,0,0,0,3,3,Ryan Blakney,"N.Pivetta (4-60-W), T.Houck (3), P.Valdez (0)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,27,4.16,0.236,0.305,0.39,0.695,4.59,1.356,9.1
49,49,May 30,BOS,,BAL,"L,0-10",9,14,10,10,0,2,8,3,1,4.03,42,162,109,2,2,0,0,38,3,2,0,0,1,0,1,4,John Tumpane,"R.Hill (4-27-L), H.Sawamura (2), R.Brasier (1), M.Barnes (1)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,27,4.16,0.236,0.305,0.39,0.695,4.59,1.356,9.1
50,50,May 31,BOS,,CIN,"L,1-2",9,8,2,0,2,2,6,0,0,3.95,37,148,99,3,0,1,0,35,2,0,0,0,0,1,1,4,Bruce Dreckman,"M.Wacha (4-64-L), A.Davis (2), T.Danish (2), J.Diekman (2)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,29.4,4,0.235,0.304,0.372,0.676,4.59,1.356,9.1
51,51,Jun 1,BOS,,CIN,"W,7-1",9,7,1,0,1,0,1,0,0,3.87,31,106,75,0,0,1,0,31,0,0,0,0,0,0,3,3,Edwin Moscoso,"G.Whitlock (4-60-W), T.Houck (2-H), J.Schreiber (4)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,29.4,4,0.235,0.304,0.372,0.676,4.59,1.356,9.1
52,52,Jun 3,BOS,@,OAK,"W,7-2",9,6,2,2,0,4,12,0,0,3.84,36,150,92,2,1,2,0,32,2,0,0,0,0,0,1,5,Todd Tichenor,"N.Eovaldi (5-71-W), T.Danish (2), M.Strahm (6), J.Schreiber (1-H), R.Brasier (3)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,28.3,3.51,0.216,0.281,0.346,0.626,4.59,1.356,9.1
53,53,Jun 4,BOS,@,OAK,"W,8-0",9,4,0,0,0,2,10,0,0,3.76,32,125,79,0,0,1,0,30,2,0,0,0,0,0,0,3,John Libka,"N.Pivetta (5-78-W), T.Houck (2), H.Sawamura (4)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,28.3,3.51,0.216,0.281,0.346,0.626,4.59,1.356,9.1
54,54,Jun 5,BOS,@,OAK,"W,5-2",9,7,2,2,0,1,9,0,0,3.73,35,135,93,1,0,0,0,34,3,0,0,0,0,0,0,4,Jim Reynolds,"R.Hill (5-67-W), J.Schreiber (1-H), T.Danish (1), R.Brasier (1)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,28.3,3.51,0.216,0.281,0.346,0.626,4.59,1.356,9.1
55,55,Jun 6,BOS,@,LAA,"W,1-0",9,3,0,0,0,1,6,0,0,3.66,29,105,71,,,0,0,28,1,0,0,0,0,0,1,1,Chris Conroy,M.Wacha (5-86-W),M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,27.9,3.85,0.233,0.297,0.39,0.687,4.59,1.356,9.1
56,56,Jun 7,BOS,@,LAA,"W,6-5",10,8,5,5,0,4,14,1,0,3.68,42,167,108,0,0,0,1,38,5,0,1,0,0,0,0,6,Carlos Torres,"G.Whitlock (5-39), J.Diekman (6), H.Sawamura (2), A.Davis (6), T.Houck (2-W), M.Strahm (3-Sv)",G.Whitlock,3.45,3.29,1.021,7.5,1.1,1.7,9.4,27.9,3.85,0.233,0.297,0.39,0.687,4.59,1.356,9.1
57,57,Jun 8,BOS,@,LAA,"W,1-0",9,7,0,0,0,0,8,0,1,3.61,34,129,88,1,0,0,0,33,0,0,0,0,0,0,1,5,Cory Blaser,"N.Eovaldi (4-60-W), T.Danish (2-H), J.Diekman (0-H), J.Schreiber (2-H), M.Strahm (0-Sv)",N.Eovaldi,3.87,4.3,1.235,9.5,1.7,1.6,8.5,27.9,3.85,0.233,0.297,0.39,0.687,4.59,1.356,9.1
58,58,Jun 9,BOS,@,LAA,"L,2-5",8,8,5,5,0,3,15,2,1,3.64,36,149,101,2,2,0,0,32,2,0,0,0,0,0,0,4,Charlie Ramos,"N.Pivetta (4-48-L), H.Sawamura (1), A.Davis (1), H.Robles (17)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,27.9,3.85,0.233,0.297,0.39,0.687,4.59,1.356,9.1
59,59,Jun 10,BOS,@,SEA,"W,4-3",9,10,3,3,0,4,12,1,1,3.63,42,186,123,0,0,1,1,37,3,0,0,0,0,1,0,6,Dan Bellino,"R.Hill (4-49), J.Schreiber (1), J.Diekman (1-W), H.Robles (0-H), M.Strahm (1-H), T.Houck (2-Sv)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,27.5,4.26,0.23,0.315,0.39,0.704,4.59,1.356,9.1
60,60,Jun 11,BOS,@,SEA,"L,6-7",8.2,13,7,6,1,4,7,1,2,3.67,44,179,107,5,1,0,0,38,2,0,0,0,0,1,1,6,Laz Diaz,"M.Wacha (4-35), J.Diekman (0), R.Brasier (5-H), M.Strahm (0-BSv), A.Davis (1), H.Robles (0-BL)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,27.5,4.26,0.23,0.315,0.39,0.704,4.59,1.356,9.1
61,61,Jun 12,BOS,@,SEA,"W,2-0",9,1,0,0,0,5,10,0,0,3.61,33,128,69,1,0,3,0,28,0,0,0,0,0,0,0,6,,"K.Crawford (29-68), R.Brasier (0), A.Davis (0), T.Danish (3-W), J.Schreiber (1-H), T.Houck (1-Sv)",K.Crawford,5.47,4.34,1.422,9.4,1.4,3.4,9,27.5,4.26,0.23,0.315,0.39,0.704,4.59,1.356,9.1
62,62,Jun 14,BOS,,OAK,"W,6-1",9,4,1,1,0,3,3,1,0,3.57,32,116,75,0,0,0,0,29,0,0,0,0,0,0,2,2,Ted Barrett,"N.Pivetta (4-73-W), P.Valdez (15)",N.Pivetta,4.56,4.42,1.38,8.8,1.4,3.7,8.8,28.3,3.51,0.216,0.281,0.346,0.626,4.59,1.356,9.1
63,63,Jun 15,BOS,,OAK,"W,10-1",9,7,1,1,0,1,6,1,0,3.53,34,131,91,0,0,0,0,33,1,0,0,0,0,0,1,5,Lance Barksdale,"J.Winckowski (17-61-W), J.Diekman (3), H.Sawamura (5), R.Brasier (2), T.Danish (2)",J.Winckowski,5.89,4.95,1.592,10.9,1.3,3.5,5.6,28.3,3.51,0.216,0.281,0.346,0.626,4.59,1.356,9.1
64,64,Jun 16,BOS,,OAK,"L,3-4",9,7,4,2,2,0,5,0,0,3.51,36,117,84,1,1,0,0,36,2,0,0,0,0,2,0,5,Bruce Dreckman,"R.Hill (5-49-L), H.Sawamura (0), R.Brasier (0), H.Robles (4), T.Danish (0)",R.Hill,4.27,3.92,1.303,9,1.1,2.7,7.9,28.3,3.51,0.216,0.281,0.346,0.626,4.59,1.356,9.1
65,65,Jun 17,BOS,,STL,"W,6-5",9,10,5,5,0,3,7,1,1,3.53,39,157,93,4,2,0,0,35,3,1,0,0,0,0,1,5,Shane Livensparger,"M.Wacha (5-56-W), J.Schreiber (4-H), M.Strahm (5-H), A.Davis (4), T.Houck (4-Sv)",M.Wacha,3.32,4.14,1.115,7.8,1.3,2.2,7.4,28.8,4.77,0.252,0.325,0.42,0.745,4.59,1.356,9.1
